ball 	 paddle 
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[407.2136357972292, 292.05220716073416]]	[[400, 50]]
[[410.3393284066101, 288.6084018402429]]	[[400, 50]]
[[413.8041185129994, 284.79098787990716]]	[[400, 50]]
[[417.27161157045185, 280.97059587968863]]	[[400, 50]]
[[420.67683846432317, 277.21880708913426]]	[[400, 50]]
[[424.2145591048517, 273.3210401981421]]	[[400, 50]]
[[427.6016516543178, 269.58923134789245]]	[[400, 50]]
[[431.05617054666726, 265.78313393911145]]	[[400, 50]]
[[434.49270252830587, 261.9968540320961]]	[[400, 50]]
[[437.9538067923364, 258.18350103523693]]	[[400, 50]]
[[441.38994561745676, 254.39765429765907]]	[[400, 50]]
[[444.9202454287029, 250.50806347979974]]	[[408.56339931488037, 50]]
[[448.2968210413053, 246.78784191200327]]	[[416.7539119720459, 50]]
[[451.7614145694355, 242.9706445363863]]	[[425.1579284667969, 50]]
[[455.21981588240294, 239.16026957940994]]	[[433.54692459106445, 50]]
[[458.6705997878289, 235.35828728028517]]	[[441.91744327545166, 50]]
[[462.14900293866333, 231.52587482817597]]	[[450.3549575805664, 50]]
[[465.5688749128402, 227.7579504760747]]	[[458.6504936218262, 50]]
[[469.0130243020203, 223.96327791120777]]	[[467.004919052124, 50]]
[[472.44709905541976, 220.17970531317678]]	[[475.33490657806396, 50]]
[[475.912134884633, 216.3620206219426]]	[[483.7399959564209, 50]]
[[479.40886895813185, 212.50941164480992]]	[[492.2219753265381, 50]]
[[482.80294003579723, 208.76991403704466]]	[[500.4549264907837, 50]]
[[486.286503365934, 204.93181623606824]]	[[508.90495777130127, 50]]
[[489.7081936890079, 201.16188847531853]]	[[517.2049045562744, 50]]
[[493.1938210908656, 197.32151653479525]]	[[525.6599426269531, 50]]
[[496.6305987953281, 193.53496589688146]]	[[533.9964866638184, 50]]
[[500.0836433507341, 189.73049287349107]]	[[542.3724889755249, 50]]
[[503.49501331520344, 185.97193581047577]]	[[550.6474018096924, 50]]
[[506.98540773984513, 182.12631169052278]]	[[559.1140031814575, 50]]
[[510.435749344188, 178.3248167070152]]	[[567.4834489822388, 50]]
[[513.8712492899662, 174.53967386977328]]	[[575.8168935775757, 50]]
[[517.3123517161297, 170.74835836804698]]	[[584.1639280319214, 50]]
[[520.8575423305053, 166.8423612577423]]	[[584.1639280319214, 50]]
[[524.2353465572273, 163.12078603545365]]	[[584.1639280319214, 50]]
