ball 	 paddle 
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[405.58089538508534, 293.80737080175504]]	[[400, 50]]
[[409.42802869933155, 289.5385450224706]]	[[400, 50]]
[[411.80078830630316, 286.90570218835893]]	[[400, 50]]
[[414.1477911274984, 284.3014393960947]]	[[400, 50]]
[[416.56451257825586, 281.6198159669974]]	[[400, 50]]
[[418.9469815494992, 278.9761995045454]]	[[400, 50]]
[[421.26613737455403, 276.4028360768962]]	[[400, 50]]
[[423.64398765515426, 273.7643445695922]]	[[400, 50]]
[[426.00821785531775, 271.1409660687101]]	[[400, 50]]
[[428.3733245953113, 268.51661494860286]]	[[400, 50]]
[[430.805621484588, 265.81770882404294]]	[[408.6005926132202, 50]]
[[433.0952109469127, 263.2771525910275]]	[[416.696572303772, 50]]
[[435.4647003860567, 260.6479383747944]]	[[425.0750780105591, 50]]
[[437.8433597803462, 258.0085490651287]]	[[433.486008644104, 50]]
[[440.22019866883477, 255.37117981077682]]	[[441.8905019760132, 50]]
[[442.55830123944764, 252.77679284449124]]	[[450.1580238342285, 50]]
[[444.95705362368835, 250.11510810951003]]	[[458.6400032043457, 50]]
[[447.32441913939795, 247.48825062447636]]	[[467.0109987258911, 50]]
[[449.6811987510057, 244.87313938700825]]	[[475.3445625305176, 50]]
[[452.04445127212796, 242.25084573064655]]	[[483.7010145187378, 50]]
[[454.4204473338568, 239.6144116870881]]	[[492.1025276184082, 50]]
[[456.7797554257437, 236.9964948172397]]	[[500.445032119751, 50]]
[[459.1467163846086, 234.37008623338687]]	[[508.8145971298218, 50]]
[[461.5163406760342, 231.7407223834268]]	[[517.1935796737671, 50]]
[[463.8930447122412, 229.10350276280187]]	[[525.5975961685181, 50]]
[[466.2449696417131, 226.49377833950393]]	[[533.9139938354492, 50]]
[[468.54548213884345, 223.94110177460558]]	[[542.0485973358154, 50]]
[[475.5493050857914, 216.1695748980192]]	[[566.8140888214111, 50]]
[[477.9176482805422, 213.54163256846513]]	[[575.1885414123535, 50]]
[[480.2821818983392, 210.91791739169742]]	[[583.5495233535767, 50]]
[[482.6440521835756, 208.29715748103695]]	[[591.9010877609253, 50]]
[[485.03205009836256, 205.64740603578]]	[[600.3450393676758, 50]]
[[487.415395609436, 203.0028169541028]]	[[600.3450393676758, 50]]
[[489.73455143449087, 200.42945352645364]]	[[600.3450393676758, 50]]
