ball 	 paddle 
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[400, 300]]	[[400, 50]]
[[407.6244284175997, 290.8626024317096]]	[[400, 50]]
[[413.19311413322663, 284.18888310094803]]	[[400, 50]]
[[416.4462698668578, 280.29018071151575]]	[[400, 50]]
[[419.82331693511367, 276.2430023553974]]	[[400, 50]]
[[423.0273287933903, 272.403195807406]]	[[400, 50]]
[[426.32962840237604, 268.44559757653275]]	[[400, 50]]
[[429.6252692038233, 264.49597950738143]]	[[400, 50]]
[[432.9193156429021, 260.54827218117765]]	[[400, 50]]
[[436.2129869378943, 256.60101444154975]]	[[400, 50]]
[[439.5050638705181, 252.65566744486935]]	[[400, 50]]
[[442.7906695676467, 248.71807581662299]]	[[400, 50]]
[[446.2102017037186, 244.6199817807856]]	[[408.69297981262207, 50]]
[[459.0231541981101, 229.26446467807125]]	[[441.26548767089844, 50]]
[[462.3091350393254, 225.326423463249]]	[[449.6189594268799, 50]]
[[465.61087193218106, 221.36949961223957]]	[[458.0124855041504, 50]]
[[468.8783769271276, 217.45360053627965]]	[[466.3189888000488, 50]]
[[472.19230600280025, 213.48206512155394]]	[[474.74350929260254, 50]]
[[475.4521205439699, 209.57538257039968]]	[[483.03046226501465, 50]]
[[478.79849958314, 205.5649579168599]]	[[491.5374755859375, 50]]
[[482.0539999673129, 201.6634456113283]]	[[499.81346130371094, 50]]
[[485.36792904298557, 197.6919101966026]]	[[508.23798179626465, 50]]
[[488.64800136483575, 193.76094997035054]]	[[516.5764331817627, 50]]
[[491.93834325605866, 189.8176823115836]]	[[524.9409914016724, 50]]
[[495.2103499800453, 185.89638819671308]]	[[533.2589387893677, 50]]
